Year,Last Year Close,Year-End Close Price,Price Gain,Dividend Yield
1928,17.66,24.350000,0.3788221970554928,0.0367
1929,24.35,21.450001,-0.11909646817248465,0.0453
1930,21.450001,15.340000,-0.28484851818888024,0.0632
1931,15.34,8.120000,-0.470664928292047,0.0972
1932,8.12,6.920000,-0.14778325123152702,0.0733
1933,6.92,9.970000,0.4407514450867054,0.0441
1934,9.97,9.500000,-0.04714142427281853,0.0486
1935,9.5,13.430000,0.41368421052631565,0.036
1936,13.43,17.180000,0.2792256142963514,0.0422
1937,17.18,10.550000,-0.38591385331781136,0.0726
1938,10.55,13.140000,0.24549763033175354,0.0402
1939,13.14,12.460000,-0.0517503805175038,0.0501
1940,12.46,10.580000,-0.1508828250401285,0.0636
1941,10.58,8.690000,-0.17863894139886582,0.0811
1942,8.69,9.770000,0.12428078250863073,0.062
1943,9.77,11.670000,0.19447287615148423,0.0531
1944,11.67,13.280000,0.1379605826906598,0.0489
1945,13.28,17.360001,0.3072289909638555,0.0381
1946,17.360001,15.300000,-0.11866364523826922,0.0469
1947,15.3,15.300000,0.0,0.0559
1948,15.3,15.200000,-0.0065359477124183885,0.0612
1949,15.2,16.790001,0.10460532894736851,0.0689
1950,16.790001,20.430000,0.21679563926172496,0.0744
1951,20.43,23.770000,0.16348507097405784,0.0602
1952,23.77,26.570000,0.11779554059739161,0.0541
1953,26.57,24.809999,-0.06624015807301464,0.0584
1954,24.809999,35.980000,0.4502217432576274,0.044
1955,35.98,45.480000,0.26403557531962196,0.0361
1956,45.48,46.669998,0.02616530343007928,0.0375
1957,46.669998,39.990002,-0.14313255380898027,0.0444
1958,39.990002,55.209999,0.38059505473393096,0.0327
1959,55.209999,59.889999,0.08476725384472483,0.031
1960,59.889999,58.110001,-0.029721122553366675,0.0343
1961,58.110001,71.550003,0.23128552346781084,0.0282
1962,71.550003,63.099998,-0.11809929623622806,0.034
1963,63.099998,75.019997,0.18890648776248775,0.0307
1964,75.019997,84.750000,0.12969879217670455,0.0298
1965,84.75,92.430000,0.09061946902654872,0.0297
1966,92.43,80.330002,-0.13090985610732464,0.0353
1967,80.330002,96.470001,0.2009211825987507,0.0306
1968,96.470001,103.860001,0.07660412484084045,0.0288
1969,103.860001,92.059998,-0.1136145088232765,0.0347
1970,92.059998,92.150002,0.0009776667603229594,0.0349
1971,92.150002,102.089996,0.10786753970987428,0.031
1972,102.089996,118.050003,0.1563327223560671,0.0268
1973,118.050003,97.550003,-0.17365522642129883,0.0357
1974,97.550003,68.559998,-0.2971809749713694,0.0537
1975,68.559998,90.190002,0.3154901492266673,0.0415
1976,90.190002,107.459999,0.1914846060209643,0.0387
1977,107.459999,95.099998,-0.11501955253135632,0.0498
1978,95.099998,96.110001,0.010620431348484338,0.0528
1979,96.110001,107.940002,0.12308813731049706,0.0524
1980,107.940002,135.759995,0.25773570951017755,0.0461
1981,135.759995,122.550003,-0.09730401065497973,0.0536
1982,122.550003,140.639999,0.14761318284096636,0.0493
1983,140.639999,164.929993,0.17271042500505152,0.0431
1984,164.929993,167.240005,0.014006015267338245,0.0458
1985,167.240005,211.279999,0.2633340868412435,0.0381
1986,211.279999,242.169998,0.14620408531902718,0.0333
1987,242.169998,247.080002,0.020275030105091796,0.0366
1988,247.080002,277.720001,0.12400841327498457,0.0353
1989,277.720001,353.399994,0.2725046547871788,0.0317
1990,353.399994,330.220001,-0.06559137915548452,0.0368
1991,330.220001,417.089996,0.2630670302735538,0.0314
1992,417.089996,435.709991,0.04464263151495018,0.0284
1993,435.709991,466.450012,0.07055156327594969,0.027
1994,466.450012,459.269989,-0.015392909883771178,0.0289
1995,459.269989,615.929993,0.34110655551673763,0.0224
1996,615.929993,740.739990,0.20263666068945607,0.02
1997,740.73999,970.429993,0.3100818183179228,0.0161
1998,970.429993,1229.229980,0.2666858906534231,0.0136
1999,1229.22998,1469.250000,0.1952604670445801,0.0117
2000,1469.25,1320.280029,-0.10139184686064318,0.0122
2001,1320.280029,1148.079956,-0.13042693157331697,0.0137
2002,1148.079956,879.820007,-0.23365963981693272,0.0179
2003,879.820007,1111.920044,0.26380399985607506,0.0161
2004,1111.920044,1211.920044,0.08993452410504443,0.0162
2005,1211.920044,1248.290039,0.030010226483224933,0.0176
2006,1248.290039,1418.300049,0.13619431757718292,0.0176
2007,1418.300049,1468.359985,0.03529573029014266,0.0187
2008,1468.359985,903.250000,-0.3848579304617866,0.0323
2009,903.25,1115.099976,0.23454190534182118,0.0202
2010,1115.099976,1257.640015,0.12782713843408788,0.0183
2011,1257.640015,1257.599976,-3.1836614231783855e-05,0.0213
2012,1257.599976,1426.189941,0.13405690856978847,0.022
2013,1426.189941,1848.359985,0.29601249585590783,0.0194
2014,1848.359985,2058.899902,0.11390633789337312,0.0192
2015,2058.899902,2043.939941,-0.00726599723739263,0.0211
2016,2043.939941,2238.830078,0.09535022682938998,0.0203
2017,2238.830078,2673.610107,0.19419965511111914,0.0184
2018,2673.610107,2506.850098,-0.062372598219684994,0.0209
2019,2506.850098,3230.780029,0.2887807019564359,0.0183
2020,3230.780029,3756.070068,0.16258923055265662,0.0158
2021,3756.070068,4766.180176,0.2689273867933606,0.0129
2022,4766.180176,3839.500000,-0.19442827207126545,0.0171
2023,3839.5,4769.830078,0.24230500794374277,0.0150
